question,option_a,option_b,option_c,option_d,answer
All project phases conclude with a review of the deliverables and related work (phase exits or stage gates or kill points) for the purpose of:,Determining if the project should continue and the next phase should be initiated.,Detecting defects and correcting errors.,Assessing project risks.,Enforcing formal control procedure of the project.,A
"The level of power and authority of a project manager may fluctuate due to various factors. Typically, how much power and authority a project manager will have depends on which of the following?",The organizational structure,The negotiation skills of the project manager,Project management knowledge and technical competency of the project manager,"The relationship of the project manager with senior management, especially with the sponsor",A
Which one of the following descriptions is generally considered to be characteristic of operational works?,It is a continuing endeavor that produces many identical or nearly identical products or provides repetition.,It is temporary in nature and has a definite beginning and ending.,It is completed when its goals and objectives have been met and signed off by the stakeholders.,It is a unique undertaking.,A
"You are overseeing a project to implement a new video game console. Since everything is not known upfront, you take the approach of defining and developing the product by incremental stepsand continually reviewing and adjusting processes, assumptions, requirements, and decisions throughout the project life cycle as the project progresses. You are engaged in which of the following?",Project selection,Monitoring & Controlling,Progressive elaboration,Decomposition,C
Which one of the following is TRUE about the power of the project managers in different organizational structures?,"In a projectized organization, the project manager has no real authority and power.","A strong matrix maintains many characteristics of projectized organization, where much of the authority rests with the project manager.","Ina weak matrix, the authority is shared between the functional manager and the project manager; the project manager does not have full authority over the project and its funding",A balanced matrix maintains many characteristics of a functional matrix; the project manager role is more like that of a coordinator or expeditor (communication coordinator o< staff assistant) than that of a true project manager.,B
You are managing a group of related or unrelated projects or programs and other works to achieve specific strategic business objectives and goals. Which of the following best describes your role?,Program owner,Project manager,Program manager,Portfolio manager,D
"As a project manager in a balanced matrix organization, how much authority do you have?",Low to moderate,Little to none,High to almost total,Moderate to high,A
"You took over a software development project from another project manager who just left the company. You realize that the project is a mess as there is a lack of management control, and the previous project manager managed the project without much project organization. You decided to develop specific workplans for each of the 30 work packages and soon realize that the plan would help each phase, but would not control the integration of those phases into a cohesive whole. To your surprise, you also find out that there are no clearly defined project deliverables. You desperately need to organize the project as soon as you can. What will be the BEST course of action?",Capture lessons learned as you progress and update organizational process assets.,Report the poor condition of the project to management.,Adapt a life cycle approach to the project.,Develop a detailed description of project deliverables.,C
"You just completed a critical data center project for your organization. Currently, the support team is conducting ongoing operations and maintenance to ensure that all routers, switches, firewalls, PCs, servers, and digital storage are operating as planned. A large portion of your project budget is allocated to maintenance and operations to run the data center smoothly. You will be sending out daily status updates and resolving issues, but there is no need for planning or providing documentation. These ongoing operations and maintenance are extremely important to the products of your data center project and should be considered as:",Not a part of your project,An entirely separate project,A separate phase in your project lifecycle,Activities in the closing process group,A
"Steve is very concerned about all major constraints on his project as these constraints provide a framework for understanding trade-offs in managing competing project requirements. He identified scope, time, cost, quality, risk, resources, communications, and customer satisfaction to be the major constraints. Which one of the following is the prioritized order of all these constraints?","Scope, time, cost, quality, risk, resources, communications, and customer satisfaction","Time, scope, cost, quality, risk, resources, communications, and customer satisfaction","Cost, scope, time, quality, risk, resources, communications, and customer satisfaction",They all are of equal importance unless stated otherwise,D
The management framework within which project decisions are made is called:,Project Management Information System (PMIS),Configuration management system,Project management plan,Project governance,D
